Ref Name,Qty,Value,Component,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
IC4,1,,LM2901DT,SOIC127P600X175-14N,STMicroelectronics,LM2901DT,7140745,,"LM2901DT, Quad Comparator Open Collector 1.3s 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 14-Pin SO"
L2,1,10uH,L_PM0603,PM0603,,,,,INDUCTOR
SWPROG,1,M032.54MM,M031X03_NO_SILK,1X03_NO_SILK,,,,,"Header 3Standard 3-pin 0.1"" header. Use with straight break away headers (SKU : PRT-00116), right angle break away headers (PRT-00553), swiss pins (PRT-00743), machine pins (PRT-00117), and female headers (PRT-00115). Molex polarized connector foot print use with SKU : PRT-08232 with associated crimp pins and housings."
D1,1,,MBRS540T3G,DIOM7958X256N,ON Semiconductor,MBRS540T3G,1250012,,"Diode Schottky 40V 5A SMC ON Semiconductor MBRS540T3G Schottky Diode, 5A, 40V, 2-Pin SMC"
D2,1,,MBRS540T3G,DIOM7958X256N,ON Semiconductor,MBRS540T3G,1250012,,"Diode Schottky 40V 5A SMC ON Semiconductor MBRS540T3G Schottky Diode, 5A, 40V, 2-Pin SMC"
IC12,1,,MC74HCT573ADWR2G,SOIC127P1030X265-20N,ON Semiconductor,MC74HCT573ADWR2G,8061687,,
IC7,1,,MCP602-I_SN,SOIC127P600X175-8N,Microchip,MCP602-I/SN,3792588,,"Dual lowpower op-amp,MCP602-I/SN SO8"
Q1,1,,MMBT3904,SOT95P240X93-3N,Fairchild Semiconductor,MMBT3904,7390303,,"Transistor GP BJT NPN 40V 0.2A SOT23 Fairchild MMBT3904 NPN Bipolar Transistor, 0.2 A, 40 V, 3-Pin SOT-23"
R8,1,1k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R6,1,1K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R38,1,1k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R39,1,1k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R40,1,1k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R41,1,1k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R43,1,1K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R35,1,1K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R24,1,1K5,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R26,1,1K5,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R28,1,1K5,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R32,1,1K5,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R33,1,1K5,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R3,1,3K3,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R7,1,3K3,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R48,1,3K3,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R17,1,3K3,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R47,1,4K7,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R23,1,4K7,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R25,1,4K7,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R27,1,4K7,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R31,1,4K7,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R34,1,4K7,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R11,1,4.7K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R2,1,10k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R4,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R9,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R10,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R12,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R14,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R15,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R46,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R51,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R1,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R18,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R19,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R20,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R21,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R29,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R30,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R36,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R37,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R13,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R22,1,10K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R64,1,15k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R65,1,15k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R66,1,15k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R16,1,47K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R55,1,47k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R62,1,47k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R63,1,47k,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R69,1,60R4,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R70,1,60R4,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R44,1,100K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R45,1,100K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R49,1,100K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R50,1,100K,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R42,1,100R,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R5,1,470,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R56,1,560R,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R57,1,560R,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R58,1,560R,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R59,1,560R,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
R60,1,560R,R-US_R0805,R0805,,,,,"RESISTOR, American symbol"
CONN3,1,,S02BA-AIT2-1AK,S02BA-AIT2-1AK,JST Automotive,S02BA-AIT2-1AK,,,Automotive Connectors 2P BLK Side Entry Brs tin plated pin
CONN4,1,,S02BA-AIT2-1AK,S02BA-AIT2-1AK,JST Automotive,S02BA-AIT2-1AK,,,Automotive Connectors 2P BLK Side Entry Brs tin plated pin
CONN5,1,,S06B-AIT2-1AK,S06B-AIT2-1AK,JST Automotive,S06B-AIT2-1AK,,,Automotive Connectors 6CIR BLK SNGL ROW SIDE ENTRY
IC9,1,SN65HVD234,SN65HVD234,SOIC8,,,,,
IC1,1,STM32F103RBT6,STM32F103,TQFP-10X10-64,,,,,
CONN6,1,,T821120A1S100CEU,SHDR20W64P254X254_2X10_3302X89,AMPHENOL,T821120A1S100CEU,8323499,,"HEADER, VERTICAL, 2.54MM, 20WAY Amphenol T821 Series, 2.54mm Pitch 20 Way 2 Row Shrouded Straight PCB Header, Through Hole, Solder Termination"
IC6,1,,ULN2003ADR,SOIC127P600X175-16N,Texas Instruments,ULN2003ADR,6658699P,,"Trans Darlington NPN 50V 0.5A SOIC16 Texas Instruments ULN2003ADR, 7-element NPN Darlington Transistor Array, 0.5 A 50 V, 16-Pin SOIC"
