Ref Name,Qty,Component,Value,Manufacturer,MPN,RS Part Number,Farnell Part Number,Description,
IC9,1,ACPL337J,,Avago Technologies,ACPL-337J-000E,818-8256,,"ACPL-337J-000E DC Input IGBT Gate Drive Output Optocoupler, Surface Mount, 16-Pin SO",
JP5,1,AMPSEAL35,776163-1,AMP - TE CONNECTIVITY,776163-1,,2468341,"AMP - TE CONNECTIVITY  776163-1  Rectangular Power Connector, AMPSEAL Series, Through Hole, Plug, 35 Contacts, 4 mm",
T6,1,BC547,BC547,MULTICOMP,BC547B,,1574381,"BC547B  Bipolar (BJT) Single Transistor, NPN, 45 V, 300 MHz, 625 mW, 100 mA, 200 hFE",
T1,1,BC547B-NPN-TO92-EBC,BC547,MULTICOMP,BC547B,,1574381,"BC547B  Bipolar (BJT) Single Transistor, NPN, 45 V, 300 MHz, 625 mW, 100 mA, 200 hFE",
T7,1,BC547B-NPN-TO92-EBC,BC547,MULTICOMP,BC547B,,1574381,"BC547B  Bipolar (BJT) Single Transistor, NPN, 45 V, 300 MHz, 625 mW, 100 mA, 200 hFE",
C2,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C3,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C4,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C5,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C6,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
