Ref Name,Qty,Component,Value,Manufacturer,MPN,RS Part Number,Farnell Part Number,Description,
DC3,1,DC_DC_IGBT,,Murata Power Solutions,MGJ2D051505SC,816-3493,,"Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5 _ 5.5 V, Vout 15 V, -5 V, I/O isolation 5200V dc",
DC4,1,DC_DC_IGBT,,Murata Power Solutions,MGJ2D051505SC,816-3493,,"Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5 _ 5.5 V, Vout 15 V, -5 V, I/O isolation 5200V dc",
DC5,1,DC_DC_IGBT,,Murata Power Solutions,MGJ2D051505SC,816-3493,,"Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5 _ 5.5 V, Vout 15 V, -5 V, I/O isolation 5200V dc",
DC6,1,DC_DC_IGBT,,Murata Power Solutions,MGJ2D051505SC,816-3493,,"Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5 _ 5.5 V, Vout 15 V, -5 V, I/O isolation 5200V dc",
D2,1,DIODE-SMB,B360B-13-F,Taiwan Semiconductor,ES1J R2,652-7444,,"Taiwan ES1J R2, Fast Rectifier Diode, 600V, 35ns, 1A, 2-pin SMA",
D3,1,DIODE-SMB,B360B-13-F,Taiwan Semiconductor,ES1J R2,652-7444,,"Taiwan ES1J R2, Fast Rectifier Diode, 600V, 35ns, 1A, 2-pin SMA",
D4,1,DIODE-SMB,B360B-13-F,Taiwan Semiconductor,ES1J R2,652-7444,,"Taiwan ES1J R2, Fast Rectifier Diode, 600V, 35ns, 1A, 2-pin SMA",
D5,1,DIODE-SMB,B360B-13-F,Taiwan Semiconductor,ES1J R2,652-7444,,"Taiwan ES1J R2, Fast Rectifier Diode, 600V, 35ns, 1A, 2-pin SMA",
D6,1,DIODE-SMB,B360B-13-F,Taiwan Semiconductor,ES1J R2,652-7444,,"Taiwan ES1J R2, Fast Rectifier Diode, 600V, 35ns, 1A, 2-pin SMA",
D7,1,DIODE-SMB,B360B-13-F,Taiwan Semiconductor,ES1J R2,652-7444,,"Taiwan ES1J R2, Fast Rectifier Diode, 600V, 35ns, 1A, 2-pin SMA",
RN3,1,E4R,330R,Bourns,4608X-102-331LF,,9356665,"BOURNS  4608X-102-331LF  Fixed Network Resistor, 330 ohm, 100 V, 4 Elements, Isolated, SIP, 300 mW",
U5,1,FT232RL,FT232RL,FTDI Chip,FT232RL-REEL,888-8732,,"FT232RL-REEL, USB Controller, 3MBd, USB 2.0, 1.8 _ 5.25 V, 28-Pin SSOP",
L1,1,L-EUTJ3-U1,,Bourns,2109-V-RC,,1929750,"Inductor, Toroidal, High Current, 2100 Series, 47 µH, 3.6 A, 0.055 ohm, ± 15%",
IC1,1,LM339N,LM339N,Texas Instruments,LM339AN,,1564966,"LM339AN  Analogue Comparator, Quad, Voltage, 4, 1.3 µs, 2V to 36V, ± 1V to ± 18V, DIP",
IC5,1,LM2596TV,,Texas Instruments,LM2596T-5.0,,1206529,"LM2596T-5.0  Buck (Step Down) Switching Regulator, Fixed, 4.5V-40V In, 5V And 3A Out, TO-220-5",
JP1,1,PINHD-2X13,,MULTICOMP,2212S-20SG-85,,1593469,"Board-To-Board Connector, 2.54 mm, 20 Contacts, Receptacle, 2212S Series, Through Hole, 1 Rows",
JP2,1,PINHD-2X13,,MULTICOMP,2212S-20SG-85,,1593469,"Board-To-Board Connector, 2.54 mm, 20 Contacts, Receptacle, 2212S Series, Through Hole, 1 Rows",
X1,1,PN61729-S,PN61729-S,AMPHENOL FCI,61729-0010BLF,,1097897,"USB Connector, USB Type B, USB 2.0, Receptacle, 4 Ways, Through Hole Mount, Right Angle",
R1,1,R-EU_0207/10,1K,MULTICOMP,MCF 0.25W 1K,,9339051,Axial Carbon Resistor 1k½ ±5% 0.25W,
R61,1,R-EU_0207/10,1M2,MULTICOMP,MCCFR0W4J0125A50,,2410785,Axial Carbon Resistor 1M2½ ±5% 0.25W,
R62,1,R-EU_0207/10,1M2,MULTICOMP,MCCFR0W4J0125A50,,2410785,Axial Carbon Resistor 1M2½ ±5% 0.25W,
R3,1,R-EU_0207/10,1.2k,MULTICOMP,MCF 0.25W 1K2,,9339124,Axial Carbon Resistor 1k2½ ±5% 0.25W,
R11,1,R-EU_0207/10,1.2k,MULTICOMP,MCF 0.25W 1K2,,9339124,Axial Carbon Resistor 1k2½ ±5% 0.25W,
R15,1,R-EU_0207/10,1.2k,MULTICOMP,MCF 0.25W 1K2,,9339124,Axial Carbon Resistor 1k2½ ±5% 0.25W,
R21,1,R-EU_0207/10,1.2k,MULTICOMP,MCF 0.25W 1K2,,9339124,Axial Carbon Resistor 1k2½ ±5% 0.25W,
R47,1,R-EU_0207/10,1.2k,MULTICOMP,MCF 0.25W 1K2,,9339124,Axial Carbon Resistor 1k2½ ±5% 0.25W,
R19,1,R-EU_0207/10,3.3k,MULTICOMP,MF25 3K3,,9341749,"3K3  Through Hole Resistor, 3.3 kohm, 250 V, Axial Leaded, 250 mW, ± 1%",
R48,1,R-EU_0207/10,3.3k,MULTICOMP,MF25 3K3,,9341749,"3K3  Through Hole Resistor, 3.3 kohm, 250 V, Axial Leaded, 250 mW, ± 1%",
R59,1,R-EU_0207/10,4.7k,MULTICOMP,MCF 0.25W 4K7,,9339540,"4K7  Through Hole Resistor, 4.7 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R20,1,R-EU_0207/10,6.6k,TE CONNECTIVITY,H86K65BYA,,1751532,"H86K65BYA  Through Hole Resistor, 6.65 kohm, 350 V, Axial Leaded, 250 mW",
R7,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R9,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R14,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R16,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R17,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R18,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R25,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R26,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R12,1,R-EU_0207/10,10K,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R13,1,R-EU_0207/10,10K,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R35,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R46,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R60,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R63,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R64,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R65,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R66,1,R-EU_0207/10,10k,MULTICOMP,MCF 0.25W 10K,,9339060,"10K  Through Hole Resistor, 10 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R24,1,R-EU_0207/10,33K,MULTICOMP,MCF 0.25W 33K,,9339434,"33K  Through Hole Resistor, 33 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R23,1,R-EU_0207/10,47k,MULTICOMP,MCF 0.25W 47K,,9339558,"47K  Through Hole Resistor, 47 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R33,1,R-EU_0207/10,100k,MULTICOMP,MCF 0.25W 100K,,9339078,"100K  Through Hole Resistor, 100 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R34,1,R-EU_0207/10,100k,MULTICOMP,MCF 0.25W 100K,,9339078,"100K  Through Hole Resistor, 100 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R36,1,R-EU_0207/10,100k,MULTICOMP,MCF 0.25W 100K,,9339078,"100K  Through Hole Resistor, 100 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R45,1,R-EU_0207/10,100k,MULTICOMP,MCF 0.25W 100K,,9339078,"100K  Through Hole Resistor, 100 kohm, 250 V, Axial Leaded, 250 mW, ± 5%",
R4,1,R-EU_0207/10,120R,MULTICOMP,MF25 120R,,9341218,"120R  Through Hole Resistor, 120 ohm, 250 V, Axial Leaded, 250 mW, ± 1%",
R8,1,R-EU_0207/10,120R,MULTICOMP,MF25 120R,,9341218,"120R  Through Hole Resistor, 120 ohm, 250 V, Axial Leaded, 250 mW, ± 1%",
R10,1,R-EU_0207/10,120R,MULTICOMP,MF25 120R,,9341218,"120R  Through Hole Resistor, 120 ohm, 250 V, Axial Leaded, 250 mW, ± 1%",
R5,1,R-EU_0207/10,500R,MULTICOMP,MCMFR0W4BB5000A50,,2396013,"Through Hole Resistor, 500 ohm, 250 V, Axial Leaded, 250 mW, ± 0.1%","Through Hole Resistor, 500 ohm, 250 V, Axial Leaded, 250 mW, ± 0.1%"
R6,1,R-EU_0207/10,500R,MULTICOMP,MCMFR0W4BB5000A50,,2396013,"Through Hole Resistor, 500 ohm, 250 V, Axial Leaded, 250 mW, ± 0.1%",
R27,1,R-US_R0805,1K,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R28,1,R-US_R0805,1K,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R39,1,R-US_R0805,1K,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R40,1,R-US_R0805,1K,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R51,1,R-US_R0805,1K,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R52,1,R-US_R0805,1K,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R71,1,R-US_R0805,1k,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R72,1,R-US_R0805,1k,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R73,1,R-US_R0805,1k,RS,804-6449,804-6449,,Thick Film Surface Mount Resistor 0805 Case 1k½ ±1% 0.125W ±100ppm/¡C,
R74,1,R-US_R0805,2K2,MULTICOMP,MC01W080512K2,,9332812,"SMD Chip Resistor, Thick Film, 2.2 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 1%",
R67,1,R-US_R0805,4.7K,MULTICOMP,MC01W080514K7,,9333266,"SMD Chip Resistor, Thick Film, 4.7 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 1%",
R68,1,R-US_R0805,10k,MULTICOMP,MCMR08X103 JTL,,2073612,"SMD Chip Resistor, Ceramic, 10 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 5%",
R69,1,R-US_R0805,60R4,MULTICOMP,MCMR08X60R4FTL,,2073817,"SMD Chip Resistor, Ceramic, 60.4 ohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%",
R70,1,R-US_R0805,60R4,MULTICOMP,MCMR08X60R4FTL,,2073817,"SMD Chip Resistor, Ceramic, 60.4 ohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%",
R29,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R30,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R31,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R32,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R41,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R42,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R43,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R44,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R53,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R54,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R55,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R56,1,R-US_R0805,150R,RS,804-6385,804-6385,,Thick Film Surface Mount Resistor 0805 Case 150½ ±1% 0.125W ±100ppm/¡C,
R2,1,R2512,4R7,TE Connectivity,35204R7JT,224-0092,,TE Connectivity 3520 Series Thick Film High Power Surface Mount Resistor 2512 Case 4.7½ ±5% 1W ±350ppm/¡C,
R22,1,R2512,4R7,TE Connectivity,35204R7JT,224-0092,,TE Connectivity 3520 Series Thick Film High Power Surface Mount Resistor 2512 Case 4.7½ ±5% 1W ±350ppm/¡C,
R37,1,R2512,4R7,TE Connectivity,35204R7JT,224-0092,,TE Connectivity 3520 Series Thick Film High Power Surface Mount Resistor 2512 Case 4.7½ ±5% 1W ±350ppm/¡C,
R38,1,R2512,4R7,TE Connectivity,35204R7JT,224-0092,,TE Connectivity 3520 Series Thick Film High Power Surface Mount Resistor 2512 Case 4.7½ ±5% 1W ±350ppm/¡C,
R49,1,R2512,4R7,TE Connectivity,35204R7JT,224-0092,,TE Connectivity 3520 Series Thick Film High Power Surface Mount Resistor 2512 Case 4.7½ ±5% 1W ±350ppm/¡C,
R50,1,R2512,4R7,TE Connectivity,35204R7JT,224-0092,,TE Connectivity 3520 Series Thick Film High Power Surface Mount Resistor 2512 Case 4.7½ ±5% 1W ±350ppm/¡C,
RN2,1,RN08,1.2k,Bourns,4609X-101-102LF,,9356800,"Fixed Network Resistor, 1 kohm, 100 V, 8 Elements, Bussed, SIP, 200 mW",
D1,1,SCHOTTKY-DIODEDO201T15,,Fairchild Semi,SB540,,1467533,"SB540  Schottky Rectifier, 40 V, 5 A, Single, DO-201AD, 2 Pins, 550 mV",
IC11,1,SN65HVD234D,,Texas Instruments,SN65HVD234D,,1212363,"SN65HVD234D  CAN Bus, Transceiver, CAN, 1, 1, 3 V, 3.6 V, SOIC",
U3,1,"TJA1055T/C,512",,NXP,"TJA1055T/C,512",,1771428,"CAN Bus, Transceiver, Serial, 1, 1, 4.75 V, 5.25 V, SOIC",
IC10,1,TLC274P,TLC274P,Texas Instruments,TLC2274CNE4,,1234680,"Operational Amplifier, Quad, 4 Amplifier, 2.2 MHz, 3.6 V/µs, ± 2.2V to ± 8V, DIP, 14 Pins",
Z1,1,VARISTORCN0603,CG0603MLC-05E,Bourns,CG0603MLC-05E,,1838966,"TVS Varistor, 8 V, 5 V, ChipGuard MLC Series, 20 V, 0603 [1608 Metric], ESD Protector",
Z2,1,VARISTORCN0603,CG0603MLC-05E,Bourns,CG0603MLC-05E,,1838966,"TVS Varistor, 8 V, 5 V, ChipGuard MLC Series, 20 V, 0603 [1608 Metric], ESD Protector",
CONN5,1,WIDE_2TB,,Phoenix Contact,"GMKDS 3/ 2-7,62",189-5966,1793006,"Wire-To-Board Terminal Block, 7.62 mm, 2 Ways, 24 AWG, 12 AWG, 4 mm_, Screw",
