Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,Farnell Part Number,Mouser Part Number,Description
"R55,62,63",3,R-US_R0805,147K,R0805,WELWYN,WINT0805LF031473B ,2428837,,"SMD Chip Resistor, Thin Film, 147 kohm, 100 V, 0805 [2012 Metric], 125 mW, ± 0.1%"
"R69,70",1,R-US_R0805,60R4,R0805,TE CONNECTIVITY,RN73C2A60R4BTDF ,2688288RL ,,"SMD Chip Resistor, Precision, 60.4 ohm, 100 V, 0805 [2012 Metric], 100 mW, ± 0.1%"
"R74,73,71,72",4,R-US_R0805,100K,R0805,MULTICOMP,MC01W08055100K ,9333738,,"SMD Chip Resistor, 100 kohm, 150 V, 0805 [2012 Metric], 100 mW, ± 5%, MC Series"
R42,1,R-US_R0805,100R,R0805,MULTICOMP,MC01W08055100R ,9333703,,"SMD Chip Resistor, Thick Film, 100 ohm, 100 V, 0805 [2012 Metric], 100 mW, ± 5%, MC Series"
"R66,67",2,R-US_R0805,470k,R0805,WELWYN,ASC0805-470KFT5 ,2078973,,"SMD Chip Resistor, Thick Film, 470 kohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%"
R5,1,R-US_R0805,470R,R0805,Panasonic,ERJ6RBD4700V ,2380396,,"SMD Chip Resistor, Thick Film, 470 ohm, 150 V, 0805 [2012 Metric], 100 mW, ± 0.5%, ERJ6E Series"
"R56,57,58,59,60,61",6,R-US_R0805,560R,R0805,VISHAY,CRCW0805560RFKEA ,1469945,," SMD Chip Resistor, Thick Film, 560 ohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%"
"R75,80",2,R-US_R0805,910R,R0805,Panasonic,ERJ6GEYJ911V ,2323872,,"SMD Chip Resistor, Thick Film, 910 ohm, 150 V, 0805 [2012 Metric], 125 mW, ± 5%"
IC8,1,SN65HVD234,SN65HVD234,SOIC8,TEXAS INSTRUMENTS,SN65HVD234D ,1212363,,"CAN Bus, Transceiver, CAN, 1, 1, 3 V, 3.6 V, SOIC"
IC1,1,STM32F103,STM32F103RBT6,TQFP-10X10-64,STMICROELECTRONICS,STM32F103RBT6 ,1447640,,"ARM Microcontroller, Motor Control, ARM Cortex-M3, 32bit, 72 MHz, 128 KB, 20 KB, 64 Pins"
J1,1,T821120A1S100CEU,,SHDR20W64P254X254_2X10_3302X89,AMPHENOL,T821120A1S100CEU,8323499,,"HEADER, VERTICAL, 2.54MM, 20WAY Amphenol T821 Series, 2.54mm Pitch 20 Way 2 Row Shrouded Straight PCB Header, Through Hole, Solder Termination"
"IC14,IC15",2,NCV8401ADTRKG,,,ON Semiconductor,NCV8401ADTRKG,8079877,,"Power Load Distribution Switch IC, Low Side, 1 Output, ± 14 V in, 16 A, 0.034 ohm"
